percentatge_volum_embassat,dia,volum_embassat,estaci,nivell_absolut,id
12.8,2001-09-16T00:00:00.000,1.56,Embassament de Siurana (Cornudella de Montsant),461.64,20010916L43049-72-00003
28,2002-02-10T00:00:00.000,46.23,Embassament de Sau (Vilanova de Sau),395.37,20020210L08303-72-00001
61.2,2001-09-09T00:00:00.000,48.98,Embassament de la Llosa del Cavall (Navès),791.96,20010909L25146-72-00002
31.1,2002-01-20T00:00:00.000,18.97,Embassament de Darnius Boadella (Darnius),140.77,20020120L17060-72-00002
30.8,2002-02-03T00:00:00.000,18.83,Embassament de Darnius Boadella (Darnius),140.68,20020203L17060-72-00002
35.9,2002-02-26T00:00:00.000,1.91,Embassament de Riudecanyes,208.79,20020226L43127-72-00002
28.2,2002-02-22T00:00:00.000,46.64,Embassament de Sau (Vilanova de Sau),395.53,20020222L08303-72-00001
34.1,2002-01-18T00:00:00.000,1.82,Embassament de Riudecanyes,208.33,20020118L43127-72-00002
32.7,2001-09-25T00:00:00.000,19.99,Embassament de Darnius Boadella (Darnius),141.41,20010925L17060-72-00002
30.9,2002-01-30T00:00:00.000,18.86,Embassament de Darnius Boadella (Darnius),140.7,20020130L17060-72-00002
28.3,2002-02-26T00:00:00.000,46.77,Embassament de Sau (Vilanova de Sau),395.58,20020226L08303-72-00001
27,2001-09-19T00:00:00.000,1.44,Embassament de Riudecanyes,206.36,20010919L43127-72-00002
37.4,2001-09-23T00:00:00.000,61.83,Embassament de Sau (Vilanova de Sau),400.65,20010923L08303-72-00001
12.8,2001-09-05T00:00:00.000,1.56,Embassament de Siurana (Cornudella de Montsant),461.64,20010905L43049-72-00003
13.8,2001-10-27T00:00:00.000,1.68,Embassament de Siurana (Cornudella de Montsant),462.3,20011027L43049-72-00003
15.9,2001-11-24T00:00:00.000,1.94,Embassament de Siurana (Cornudella de Montsant),463.61,20011124L43049-72-00003
32.4,2001-09-29T00:00:00.000,19.81,Embassament de Darnius Boadella (Darnius),141.3,20010929L17060-72-00002
30.1,2001-12-07T00:00:00.000,49.71,Embassament de Sau (Vilanova de Sau),396.63,20011207L08303-72-00001
33.9,2001-09-16T00:00:00.000,20.74,Embassament de Darnius Boadella (Darnius),141.87,20010916L17060-72-00002
30,2002-01-07T00:00:00.000,49.51,Embassament de Sau (Vilanova de Sau),396.56,20020107L08303-72-00001
24.8,2001-10-18T00:00:00.000,1.32,Embassament de Riudecanyes,205.69,20011018L43127-72-00002
20.6,2002-02-20T00:00:00.000,2.51,Embassament de Siurana (Cornudella de Montsant),466.05,20020220L43049-72-00003
31.6,2001-12-08T00:00:00.000,19.32,Embassament de Darnius Boadella (Darnius),140.99,20011208L17060-72-00002
13.2,2001-10-08T00:00:00.000,1.62,Embassament de Siurana (Cornudella de Montsant),461.95,20011008L43049-72-00003
28.1,2002-02-16T00:00:00.000,46.45,Embassament de Sau (Vilanova de Sau),395.46,20020216L08303-72-00001
46.4,2001-08-14T00:00:00.000,2.47,Embassament de Riudecanyes,211.04,20010814L43127-72-00002
28.3,2002-02-17T00:00:00.000,46.76,Embassament de Sau (Vilanova de Sau),395.57,20020217L08303-72-00001
32.3,2002-01-08T00:00:00.000,1.72,Embassament de Riudecanyes,207.83,20020108L43127-72-00002
18.8,2002-01-12T00:00:00.000,2.29,Embassament de Siurana (Cornudella de Montsant),465.17,20020112L43049-72-00003
24.6,2001-10-17T00:00:00.000,1.31,Embassament de Riudecanyes,205.63,20011017L43127-72-00002
50.6,2001-10-09T00:00:00.000,40.47,Embassament de la Llosa del Cavall (Navès),787.81,20011009L25146-72-00002
33.1,2001-09-04T00:00:00.000,1.76,Embassament de Riudecanyes,208.05,20010904L43127-72-00002
30.8,2001-11-10T00:00:00.000,50.97,Embassament de Sau (Vilanova de Sau),397.07,20011110L08303-72-00001
13.9,2001-11-05T00:00:00.000,1.7,Embassament de Siurana (Cornudella de Montsant),462.39,20011105L43049-72-00003
39.5,2001-09-15T00:00:00.000,65.3,Embassament de Sau (Vilanova de Sau),401.72,20010915L08303-72-00001
19.4,2002-01-21T00:00:00.000,2.37,Embassament de Siurana (Cornudella de Montsant),465.48,20020121L43049-72-00003
30.7,2002-02-10T00:00:00.000,18.76,Embassament de Darnius Boadella (Darnius),140.63,20020210L17060-72-00002
29.1,2001-12-16T00:00:00.000,1.55,Embassament de Riudecanyes,206.95,20011216L43127-72-00002
46.1,2001-12-21T00:00:00.000,36.84,Embassament de la Llosa del Cavall (Navès),786.79,20011221L25146-72-00002
31.6,2001-12-12T00:00:00.000,19.29,Embassament de Darnius Boadella (Darnius),140.97,20011212L17060-72-00002
31.7,2001-09-09T00:00:00.000,1.69,Embassament de Riudecanyes,207.68,20010909L43127-72-00002
44.5,2001-11-20T00:00:00.000,35.59,Embassament de la Llosa del Cavall (Navès),786.68,20011120L25146-72-00002
47.1,2001-08-28T00:00:00.000,77.8,Embassament de Sau (Vilanova de Sau),405.3,20010828L08303-72-00001
24,2001-11-12T00:00:00.000,1.27,Embassament de Riudecanyes,205.42,20011112L43127-72-00002
24.9,2001-10-13T00:00:00.000,1.33,Embassament de Riudecanyes,205.73,20011013L43127-72-00002
25,2001-10-20T00:00:00.000,1.33,Embassament de Riudecanyes,205.74,20011020L43127-72-00002
30.9,2001-11-11T00:00:00.000,51.03,Embassament de Sau (Vilanova de Sau),397.09,20011111L08303-72-00001
30.7,2002-02-23T00:00:00.000,18.76,Embassament de Darnius Boadella (Darnius),140.63,20020223L17060-72-00002
65.7,2001-08-28T00:00:00.000,52.58,Embassament de la Llosa del Cavall (Navès),793.8,20010828L25146-72-00002
24.1,2001-11-11T00:00:00.000,1.28,Embassament de Riudecanyes,205.46,20011111L43127-72-00002
30.9,2002-01-27T00:00:00.000,18.9,Embassament de Darnius Boadella (Darnius),140.72,20020127L17060-72-00002
12.8,2001-09-22T00:00:00.000,1.57,Embassament de Siurana (Cornudella de Montsant),461.66,20010922L43049-72-00003
31.8,2001-11-23T00:00:00.000,19.43,Embassament de Darnius Boadella (Darnius),141.06,20011123L17060-72-00002
27.9,2002-02-11T00:00:00.000,46.18,Embassament de Sau (Vilanova de Sau),395.36,20020211L08303-72-00001
12.8,2001-09-04T00:00:00.000,1.56,Embassament de Siurana (Cornudella de Montsant),461.64,20010904L43049-72-00003
43,2001-09-06T00:00:00.000,71,Embassament de Sau (Vilanova de Sau),403.4,20010906L08303-72-00001
34.4,2002-01-20T00:00:00.000,1.83,Embassament de Riudecanyes,208.39,20020120L43127-72-00002
16.4,2001-12-09T00:00:00.000,2.01,Embassament de Siurana (Cornudella de Montsant),463.95,20011209L43049-72-00003
50.3,2001-10-10T00:00:00.000,40.28,Embassament de la Llosa del Cavall (Navès),787.72,20011010L25146-72-00002
58.3,2001-09-17T00:00:00.000,46.64,Embassament de la Llosa del Cavall (Navès),790.56,20010917L25146-72-00002
32,2001-10-21T00:00:00.000,52.87,Embassament de Sau (Vilanova de Sau),397.73,20011021L08303-72-00001
31.8,2001-11-27T00:00:00.000,19.42,Embassament de Darnius Boadella (Darnius),141.05,20011127L17060-72-00002
31,2002-01-22T00:00:00.000,18.96,Embassament de Darnius Boadella (Darnius),140.76,20020122L17060-72-00002
24.9,2001-10-29T00:00:00.000,1.32,Embassament de Riudecanyes,205.71,20011029L43127-72-00002
16.4,2001-12-06T00:00:00.000,2,Embassament de Siurana (Cornudella de Montsant),463.9,20011206L43049-72-00003
13.6,2001-10-20T00:00:00.000,1.66,Embassament de Siurana (Cornudella de Montsant),462.18,20011020L43049-72-00003
14.1,2001-11-16T00:00:00.000,1.73,Embassament de Siurana (Cornudella de Montsant),462.53,20011116L43049-72-00003
13.9,2001-11-04T00:00:00.000,1.7,Embassament de Siurana (Cornudella de Montsant),462.38,20011104L43049-72-00003
32.2,2001-10-03T00:00:00.000,19.69,Embassament de Darnius Boadella (Darnius),141.22,20011003L17060-72-00002
63.1,2001-09-04T00:00:00.000,50.51,Embassament de la Llosa del Cavall (Navès),792.76,20010904L25146-72-00002
48.2,2001-08-15T00:00:00.000,2.56,Embassament de Riudecanyes,211.37,20010815L43127-72-00002
28.3,2002-02-24T00:00:00.000,46.75,Embassament de Sau (Vilanova de Sau),395.56,20020224L08303-72-00001
29.4,2001-12-10T00:00:00.000,48.62,Embassament de Sau (Vilanova de Sau),396.24,20011210L08303-72-00001
41.8,2002-02-07T00:00:00.000,33.45,Embassament de la Llosa del Cavall (Navès),783.9,20020207L25146-72-00002
30.9,2002-01-28T00:00:00.000,18.88,Embassament de Darnius Boadella (Darnius),140.71,20020128L17060-72-00002
44.4,2001-11-16T00:00:00.000,35.5,Embassament de la Llosa del Cavall (Navès),786.21,20011116L25146-72-00002
30.7,2002-02-20T00:00:00.000,18.77,Embassament de Darnius Boadella (Darnius),140.64,20020220L17060-72-00002
31.1,2002-01-05T00:00:00.000,19,Embassament de Darnius Boadella (Darnius),140.79,20020105L17060-72-00002
31.8,2001-11-25T00:00:00.000,19.45,Embassament de Darnius Boadella (Darnius),141.07,20011125L17060-72-00002
32.8,2002-01-10T00:00:00.000,1.75,Embassament de Riudecanyes,207.98,20020110L43127-72-00002
13,2001-09-28T00:00:00.000,1.59,Embassament de Siurana (Cornudella de Montsant),461.81,20010928L43049-72-00003
61.6,2001-09-08T00:00:00.000,49.31,Embassament de la Llosa del Cavall (Navès),792.12,20010908L25146-72-00002
53.9,2001-09-28T00:00:00.000,43.11,Embassament de la Llosa del Cavall (Navès),789.06,20010928L25146-72-00002
44.7,2001-11-26T00:00:00.000,35.77,Embassament de la Llosa del Cavall (Navès),786.88,20011126L25146-72-00002
45.4,2001-11-29T00:00:00.000,36.32,Embassament de la Llosa del Cavall (Navès),786.89,20011129L25146-72-00002
47.6,2001-08-22T00:00:00.000,2.53,Embassament de Riudecanyes,211.26,20010822L43127-72-00002
32.1,2001-10-06T00:00:00.000,19.61,Embassament de Darnius Boadella (Darnius),141.17,20011006L17060-72-00002
27.9,2001-12-22T00:00:00.000,46.06,Embassament de Sau (Vilanova de Sau),395.31,20011222L08303-72-00001
44.8,2001-11-27T00:00:00.000,35.81,Embassament de la Llosa del Cavall (Navès),786.91,20011127L25146-72-00002
33.1,2001-09-21T00:00:00.000,20.2,Embassament de Darnius Boadella (Darnius),141.54,20010921L17060-72-00002
46.8,2001-10-27T00:00:00.000,37.42,Embassament de la Llosa del Cavall (Navès),786.52,20011027L25146-72-00002
23.8,2001-11-14T00:00:00.000,1.27,Embassament de Riudecanyes,205.37,20011114L43127-72-00002
64,2001-09-02T00:00:00.000,51.21,Embassament de la Llosa del Cavall (Navès),793.04,20010902L25146-72-00002
47.8,2001-08-27T00:00:00.000,78.93,Embassament de Sau (Vilanova de Sau),405.6,20010827L08303-72-00001
31,2001-11-02T00:00:00.000,18.97,Embassament de Darnius Boadella (Darnius),140.77,20011102L17060-72-00002
43.5,2002-01-21T00:00:00.000,34.78,Embassament de la Llosa del Cavall (Navès),785.07,20020121L25146-72-00002
30.9,2001-11-04T00:00:00.000,18.91,Embassament de Darnius Boadella (Darnius),140.73,20011104L17060-72-00002
